s,kappa,dt,refline/x,refline/y,refline/z,refline/v,inner_edge/x,inner_edge/y,outer_edge/x,outer_edge/y,e_min,e_max,image,image_metadata,seq_num,course_id,name,t
2107.0,0.006524192238186126,0.12176413846126506,-780.7887356448043,-360.05681000406366,61.9692354956642,35.25102510396197,-781.3344462093961,-359.99520052030215,-773.3930115749176,-360.90569413447145,-7.444691930206269,0.5492095838045619,,,8,1,8,74.2622568949122
2108.0,0.00646688823590649,0.12214318934045829,-780.677163117148,-359.05871676460595,61.9692354956642,35.14326236426117,-781.1664740026367,-358.9996152354472,-773.2280511533181,-359.9627686851132,-7.503883757600126,0.49287722811253737,,,8,1,8,74.2992467160041
2109.0,0.00637783176131512,0.12249774263592877,-780.5490180232075,-358.0632300688648,61.9692354956642,35.01502750983883,-780.9923159731472,-358.00710752602544,-773.0590614528792,-359.02103623125555,-7.5512467902880385,0.44685058454248006,,,8,1,8,74.33650377213603
2110.0,0.006279271479939267,0.12284496357944563,-780.4159126078679,-357.06852353561345,61.9692354956642,34.880665163331045,-780.8163064700639,-357.0155209632153,-772.8888657522525,-358.0796608519155,-7.595069356007744,0.4039085353253319,,,8,1,8,74.37384081417146
2111.0,0.006180711198563412,0.12319218452296249,-780.2828071925281,-356.07381700236215,61.9692354956642,34.74630281682327,-780.6402969669804,-356.0239344004052,-772.7186700516258,-357.13828547257543,-7.638891921727449,0.3609664861081837,,,8,1,8,74.41117785620689
2112.0,0.00601697512853114,0.12353538371057687,-780.1404215991557,-355.08059763841004,61.9692354956642,34.599256452464964,-780.4654531469115,-355.0330221341942,-772.5467690032145,-356.19597931578625,-7.675300704780142,0.32850105664749213,,,8,1,8,74.44867240486664
2113.0,0.005778313158520734,0.12387395949912394,-779.987367539695,-354.08908792002507,61.9692354956642,34.43762857751229,-780.2919493926976,-354.04288503742237,-772.3729074918741,-355.25260313990725,-7.703186624511663,0.30807951925413296,,,8,1,8,74.4863480226906
2114.0,0.0055396511885103285,0.124212535287671,-779.8343134802342,-353.09757820164015,61.9692354956642,34.27600070255962,-780.1184456384836,-353.0527479406506,-772.1990459805337,-354.3092269640283,-7.731072544243184,0.28765798186077374,,,8,1,8,74.52402364051457
2115.0,0.005261524383285731,0.1245464565432352,-779.6785609775621,-352.1065182657283,61.9692354956642,34.10926631209106,-779.944514894992,-352.0628203857554,-772.0263909567283,-353.3642407751127,-7.75488267813726,0.2695212469131673,,,8,1,8,74.5617490356691
2116.0,0.004777384179851399,0.12485608031594723,-779.5087221255411,-351.1178062736312,61.9692354956642,33.915875010254965,-779.7683551921846,-351.0739866764023,-771.860034010582,-352.4108500342703,-7.757416491322285,0.263311583585973,,,8,1,8,74.59973427726578
2117.0,0.004293243976417067,0.12516570408865926,-779.3388832735202,-350.1290942815341,61.9692354956642,33.722483708418864,-779.592195489377,-350.0851529670491,-771.6936770644359,-351.45745929342786,-7.759950304507309,0.25710192025877865,,,8,1,8,74.63771951886247
2118.0,0.0038091037729827354,0.1254753278613713,-779.1690444214992,-349.14038228943696,61.9692354956642,33.52909240658277,-779.4160357865695,-349.096319257696,-771.5273201182897,-350.50406855258547,-7.762484117692334,0.25089225693158435,,,8,1,8,74.67570476045915
